     r (a_0)         v_en         v_ha         v_xc
 1.85615e-05 -3.23250e+05  2.58939e+01 -3.98128e+00
 1.86654e-05 -3.21450e+05  2.58939e+01 -3.98843e+00
 1.87699e-05 -3.19660e+05  2.58939e+01 -3.99553e+00
 1.88750e-05 -3.17880e+05  2.58939e+01 -4.00259e+00
 1.89807e-05 -3.16110e+05  2.58939e+01 -4.00959e+00
 1.90870e-05 -3.14350e+05  2.58939e+01 -4.01656e+00
 1.91939e-05 -3.12600e+05  2.58939e+01 -4.02347e+00
 1.93013e-05 -3.10859e+05  2.58939e+01 -4.03035e+00
 1.94094e-05 -3.09128e+05  2.58939e+01 -4.03718e+00
 1.95181e-05 -3.07407e+05  2.58939e+01 -4.04396e+00
 1.96274e-05 -3.05695e+05  2.58939e+01 -4.05070e+00
 1.97373e-05 -3.03993e+05  2.58939e+01 -4.05740e+00
 1.98478e-05 -3.02300e+05  2.58939e+01 -4.06406e+00
 1.99589e-05 -3.00617e+05  2.58939e+01 -4.07067e+00
 2.00707e-05 -2.98943e+05  2.58939e+01 -4.07724e+00
 2.01831e-05 -2.97279e+05  2.58939e+01 -4.08377e+00
 2.02961e-05 -2.95623e+05  2.58939e+01 -4.09025e+00
 2.04097e-05 -2.93977e+05  2.58939e+01 -4.09670e+00
 2.05240e-05 -2.92340e+05  2.58939e+01 -4.10310e+00
 2.06389e-05 -2.90713e+05  2.58939e+01 -4.10947e+00
 2.07545e-05 -2.89094e+05  2.58939e+01 -4.11579e+00
 2.08707e-05 -2.87484e+05  2.58939e+01 -4.12207e+00
 2.09876e-05 -2.85883e+05  2.58939e+01 -4.12831e+00
 2.11051e-05 -2.84292e+05  2.58939e+01 -4.13452e+00
 2.12233e-05 -2.82709e+05  2.58939e+01 -4.14068e+00
 2.13421e-05 -2.81134e+05  2.58939e+01 -4.14680e+00
 2.14616e-05 -2.79569e+05  2.58939e+01 -4.15289e+00
 2.15818e-05 -2.78012e+05  2.58939e+01 -4.15894e+00
 2.17026e-05 -2.76464e+05  2.58939e+01 -4.16495e+00
 2.18241e-05 -2.74925e+05  2.58939e+01 -4.17092e+00
 2.19463e-05 -2.73394e+05  2.58939e+01 -4.17685e+00
 2.20692e-05 -2.71872e+05  2.58939e+01 -4.18275e+00
 2.21928e-05 -2.70358e+05  2.58939e+01 -4.18861e+00
 2.23171e-05 -2.68853e+05  2.58939e+01 -4.19443e+00
 2.24420e-05 -2.67355e+05  2.58939e+01 -4.20021e+00
 2.25677e-05 -2.65867e+05  2.58939e+01 -4.20596e+00
 2.26941e-05 -2.64386e+05  2.58939e+01 -4.21168e+00
 2.28211e-05 -2.62914e+05  2.58939e+01 -4.21735e+00
 2.29489e-05 -2.61450e+05  2.58939e+01 -4.22299e+00
 2.30774e-05 -2.59995e+05  2.58939e+01 -4.22860e+00
 2.32066e-05 -2.58547e+05  2.58939e+01 -4.23417e+00
 2.33366e-05 -2.57107e+05  2.58939e+01 -4.23971e+00
 2.34672e-05 -2.55676e+05  2.58939e+01 -4.24521e+00
 2.35986e-05 -2.54252e+05  2.58939e+01 -4.25068e+00
 2.37308e-05 -2.52836e+05  2.58939e+01 -4.25611e+00
 2.38637e-05 -2.51428e+05  2.58939e+01 -4.26151e+00
 2.39973e-05 -2.50028e+05  2.58939e+01 -4.26688e+00
 2.41316e-05 -2.48636e+05  2.58939e+01 -4.27221e+00
 2.42668e-05 -2.47252e+05  2.58939e+01 -4.27751e+00
 2.44026e-05 -2.45875e+05  2.58939e+01 -4.28278e+00
 2.45393e-05 -2.44506e+05  2.58939e+01 -4.28801e+00
 2.46767e-05 -2.43144e+05  2.58939e+01 -4.29321e+00
 2.48149e-05 -2.41791e+05  2.58939e+01 -4.29838e+00
 2.49538e-05 -2.40444e+05  2.58939e+01 -4.30352e+00
 2.50935e-05 -2.39105e+05  2.58939e+01 -4.30862e+00
 2.52340e-05 -2.37774e+05  2.58939e+01 -4.31370e+00
 2.53753e-05 -2.36450e+05  2.58939e+01 -4.31874e+00
 2.55174e-05 -2.35134e+05  2.58939e+01 -4.32375e+00
 2.56603e-05 -2.33824e+05  2.58939e+01 -4.32873e+00
 2.58040e-05 -2.32522e+05  2.58939e+01 -4.33368e+00
 2.59485e-05 -2.31228e+05  2.58939e+01 -4.33860e+00
 2.60938e-05 -2.29940e+05  2.58939e+01 -4.34349e+00
 2.62399e-05 -2.28660e+05  2.58939e+01 -4.34835e+00
 2.63868e-05 -2.27386e+05  2.58939e+01 -4.35318e+00
 2.65345e-05 -2.26120e+05  2.58939e+01 -4.35798e+00
 2.66831e-05 -2.24861e+05  2.58939e+01 -4.36275e+00
 2.68325e-05 -2.23609e+05  2.58939e+01 -4.36749e+00
 2.69828e-05 -2.22364e+05  2.58939e+01 -4.37220e+00
 2.71339e-05 -2.21126e+05  2.58939e+01 -4.37689e+00
 2.72858e-05 -2.19895e+05  2.58939e+01 -4.38154e+00
 2.74386e-05 -2.18670e+05  2.58939e+01 -4.38617e+00
 2.75922e-05 -2.17453e+05  2.58939e+01 -4.39076e+00
 2.77467e-05 -2.16242e+05  2.58939e+01 -4.39533e+00
 2.79021e-05 -2.15038e+05  2.58939e+01 -4.39987e+00
 2.80583e-05 -2.13840e+05  2.58939e+01 -4.40439e+00
 2.82154e-05 -2.12650e+05  2.58939e+01 -4.40887e+00
 2.83734e-05 -2.11466e+05  2.58939e+01 -4.41333e+00
 2.85323e-05 -2.10288e+05  2.58939e+01 -4.41776e+00
 2.86920e-05 -2.09117e+05  2.58939e+01 -4.42217e+00
 2.88527e-05 -2.07953e+05  2.58939e+01 -4.42655e+00
 2.90142e-05 -2.06795e+05  2.58939e+01 -4.43090e+00
 2.91767e-05 -2.05643e+05  2.58939e+01 -4.43522e+00
 2.93401e-05 -2.04498e+05  2.58939e+01 -4.43952e+00
 2.95044e-05 -2.03360e+05  2.58939e+01 -4.44379e+00
 2.96696e-05 -2.02227e+05  2.58939e+01 -4.44804e+00
 2.98357e-05 -2.01101e+05  2.58939e+01 -4.45226e+00
 3.00028e-05 -1.99982e+05  2.58939e+01 -4.45646e+00
 3.01708e-05 -1.98868e+05  2.58939e+01 -4.46063e+00
 3.03397e-05 -1.97761e+05  2.58939e+01 -4.46477e+00
 3.05096e-05 -1.96660e+05  2.58939e+01 -4.46889e+00
 3.06804e-05 -1.95565e+05  2.58939e+01 -4.47299e+00
 3.08522e-05 -1.94476e+05  2.58939e+01 -4.47706e+00
 3.10250e-05 -1.93393e+05  2.58939e+01 -4.48110e+00
 3.11987e-05 -1.92316e+05  2.58939e+01 -4.48512e+00
 3.13734e-05 -1.91245e+05  2.58939e+01 -4.48912e+00
 3.15490e-05 -1.90180e+05  2.58939e+01 -4.49309e+00
 3.17257e-05 -1.89121e+05  2.58939e+01 -4.49704e+00
 3.19033e-05 -1.88068e+05  2.58939e+01 -4.50096e+00
 3.20820e-05 -1.87021e+05  2.58939e+01 -4.50486e+00
 3.22616e-05 -1.85980e+05  2.58939e+01 -4.50874e+00
 3.24423e-05 -1.84944e+05  2.58939e+01 -4.51260e+00
 3.26239e-05 -1.83914e+05  2.58939e+01 -4.51643e+00
 3.28066e-05 -1.82890e+05  2.58939e+01 -4.52023e+00
 3.29903e-05 -1.81872e+05  2.58939e+01 -4.52402e+00
 3.31750e-05 -1.80859e+05  2.58939e+01 -4.52778e+00
 3.33608e-05 -1.79852e+05  2.58939e+01 -4.53152e+00
