     r (a_0)         v_en         v_ha         v_xc
 3.38692e-05 -1.18101e+05  5.52424e+00 -2.23977e+00
 3.41610e-05 -1.17093e+05  5.52424e+00 -2.24247e+00
 3.44552e-05 -1.16093e+05  5.52424e+00 -2.24515e+00
 3.47521e-05 -1.15101e+05  5.52424e+00 -2.24781e+00
 3.50514e-05 -1.14118e+05  5.52424e+00 -2.25044e+00
 3.53534e-05 -1.13143e+05  5.52424e+00 -2.25304e+00
 3.56580e-05 -1.12177e+05  5.52424e+00 -2.25563e+00
 3.59652e-05 -1.11219e+05  5.52424e+00 -2.25818e+00
 3.62750e-05 -1.10269e+05  5.52424e+00 -2.26072e+00
 3.65875e-05 -1.09327e+05  5.52424e+00 -2.26323e+00
 3.69027e-05 -1.08393e+05  5.52424e+00 -2.26572e+00
 3.72206e-05 -1.07467e+05  5.52424e+00 -2.26819e+00
 3.75412e-05 -1.06550e+05  5.52424e+00 -2.27063e+00
 3.78646e-05 -1.05639e+05  5.52424e+00 -2.27305e+00
 3.81908e-05 -1.04737e+05  5.52424e+00 -2.27545e+00
 3.85198e-05 -1.03843e+05  5.52424e+00 -2.27783e+00
 3.88517e-05 -1.02956e+05  5.52424e+00 -2.28019e+00
 3.91864e-05 -1.02076e+05  5.52424e+00 -2.28252e+00
 3.95240e-05 -1.01204e+05  5.52424e+00 -2.28484e+00
 3.98644e-05 -1.00340e+05  5.52424e+00 -2.28713e+00
 4.02079e-05 -9.94830e+04  5.52424e+00 -2.28940e+00
 4.05542e-05 -9.86333e+04  5.52424e+00 -2.29165e+00
 4.09036e-05 -9.77909e+04  5.52424e+00 -2.29388e+00
 4.12560e-05 -9.69556e+04  5.52424e+00 -2.29609e+00
 4.16114e-05 -9.61275e+04  5.52424e+00 -2.29829e+00
 4.19699e-05 -9.53065e+04  5.52424e+00 -2.30046e+00
 4.23314e-05 -9.44924e+04  5.52424e+00 -2.30261e+00
 4.26961e-05 -9.36854e+04  5.52424e+00 -2.30474e+00
 4.30639e-05 -9.28852e+04  5.52424e+00 -2.30685e+00
 4.34349e-05 -9.20918e+04  5.52424e+00 -2.30894e+00
 4.38091e-05 -9.13053e+04  5.52424e+00 -2.31102e+00
 4.41865e-05 -9.05254e+04  5.52424e+00 -2.31307e+00
 4.45671e-05 -8.97522e+04  5.52424e+00 -2.31511e+00
 4.49511e-05 -8.89856e+04  5.52424e+00 -2.31713e+00
 4.53383e-05 -8.82256e+04  5.52424e+00 -2.31913e+00
 4.57289e-05 -8.74720e+04  5.52424e+00 -2.32111e+00
 4.61228e-05 -8.67249e+04  5.52424e+00 -2.32308e+00
 4.65202e-05 -8.59842e+04  5.52424e+00 -2.32503e+00
 4.69209e-05 -8.52498e+04  5.52424e+00 -2.32695e+00
 4.73252e-05 -8.45216e+04  5.52424e+00 -2.32887e+00
 4.77329e-05 -8.37997e+04  5.52424e+00 -2.33076e+00
 4.81441e-05 -8.30840e+04  5.52424e+00 -2.33264e+00
 4.85588e-05 -8.23743e+04  5.52424e+00 -2.33450e+00
 4.89771e-05 -8.16708e+04  5.52424e+00 -2.33634e+00
 4.93991e-05 -8.09732e+04  5.52424e+00 -2.33817e+00
 4.98246e-05 -8.02816e+04  5.52424e+00 -2.33998e+00
 5.02538e-05 -7.95959e+04  5.52424e+00 -2.34178e+00
 5.06868e-05 -7.89161e+04  5.52424e+00 -2.34356e+00
 5.11234e-05 -7.82420e+04  5.52424e+00 -2.34532e+00
 5.15638e-05 -7.75737e+04  5.52424e+00 -2.34707e+00
 5.20081e-05 -7.69112e+04  5.52424e+00 -2.34880e+00
 5.24561e-05 -7.62543e+04  5.52424e+00 -2.35052e+00
 5.29080e-05 -7.56030e+04  5.52424e+00 -2.35222e+00
 5.33638e-05 -7.49572e+04  5.52424e+00 -2.35390e+00
 5.38235e-05 -7.43170e+04  5.52424e+00 -2.35557e+00
 5.42872e-05 -7.36822e+04  5.52424e+00 -2.35723e+00
 5.47548e-05 -7.30529e+04  5.52424e+00 -2.35887e+00
 5.52265e-05 -7.24289e+04  5.52424e+00 -2.36050e+00
 5.57023e-05 -7.18103e+04  5.52424e+00 -2.36211e+00
 5.61822e-05 -7.11970e+04  5.52424e+00 -2.36370e+00
 5.66662e-05 -7.05889e+04  5.52424e+00 -2.36529e+00
 5.71543e-05 -6.99860e+04  5.52424e+00 -2.36686e+00
 5.76467e-05 -6.93882e+04  5.52424e+00 -2.36841e+00
 5.81433e-05 -6.87955e+04  5.52424e+00 -2.36995e+00
 5.86442e-05 -6.82079e+04  5.52424e+00 -2.37148e+00
 5.91494e-05 -6.76254e+04  5.52424e+00 -2.37299e+00
 5.96590e-05 -6.70478e+04  5.52424e+00 -2.37449e+00
 6.01729e-05 -6.64751e+04  5.52424e+00 -2.37598e+00
 6.06913e-05 -6.59073e+04  5.52424e+00 -2.37745e+00
 6.12141e-05 -6.53444e+04  5.52424e+00 -2.37891e+00
 6.17415e-05 -6.47863e+04  5.52424e+00 -2.38036e+00
 6.22734e-05 -6.42329e+04  5.52424e+00 -2.38180e+00
 6.28098e-05 -6.36843e+04  5.52424e+00 -2.38322e+00
 6.33509e-05 -6.31404e+04  5.52424e+00 -2.38463e+00
 6.38967e-05 -6.26011e+04  5.52424e+00 -2.38602e+00
 6.44471e-05 -6.20664e+04  5.52424e+00 -2.38741e+00
 6.50023e-05 -6.15363e+04  5.52424e+00 -2.38878e+00
 6.55623e-05 -6.10107e+04  5.52424e+00 -2.39014e+00
 6.61271e-05 -6.04896e+04  5.52424e+00 -2.39149e+00
 6.66968e-05 -5.99729e+04  5.52424e+00 -2.39282e+00
 6.72714e-05 -5.94607e+04  5.52424e+00 -2.39415e+00
 6.78509e-05 -5.89528e+04  5.52424e+00 -2.39546e+00
 6.84354e-05 -5.84493e+04  5.52424e+00 -2.39676e+00
 6.90250e-05 -5.79501e+04  5.52424e+00 -2.39805e+00
 6.96196e-05 -5.74551e+04  5.52424e+00 -2.39933e+00
 7.02193e-05 -5.69644e+04  5.52424e+00 -2.40059e+00
 7.08243e-05 -5.64778e+04  5.52424e+00 -2.40185e+00
 7.14344e-05 -5.59954e+04  5.52424e+00 -2.40309e+00
 7.20498e-05 -5.55172e+04  5.52424e+00 -2.40432e+00
 7.26705e-05 -5.50430e+04  5.52424e+00 -2.40554e+00
 7.32965e-05 -5.45729e+04  5.52424e+00 -2.40676e+00
 7.39279e-05 -5.41067e+04  5.52424e+00 -2.40796e+00
 7.45648e-05 -5.36446e+04  5.52424e+00 -2.40915e+00
 7.52072e-05 -5.31864e+04  5.52424e+00 -2.41032e+00
 7.58551e-05 -5.27321e+04  5.52424e+00 -2.41149e+00
 7.65085e-05 -5.22817e+04  5.52424e+00 -2.41265e+00
 7.71676e-05 -5.18352e+04  5.52424e+00 -2.41380e+00
 7.78324e-05 -5.13925e+04  5.52424e+00 -2.41494e+00
 7.85029e-05 -5.09535e+04  5.52424e+00 -2.41607e+00
 7.91792e-05 -5.05183e+04  5.52424e+00 -2.41718e+00
 7.98613e-05 -5.00868e+04  5.52424e+00 -2.41829e+00
 8.05493e-05 -4.96590e+04  5.52424e+00 -2.41939e+00
 8.12432e-05 -4.92349e+04  5.52424e+00 -2.42048e+00
 8.19431e-05 -4.88143e+04  5.52424e+00 -2.42156e+00
 8.26490e-05 -4.83974e+04  5.52424e+00 -2.42263e+00
 8.33610e-05 -4.79840e+04  5.52424e+00 -2.42369e+00
 8.40792e-05 -4.75742e+04  5.52424e+00 -2.42474e+00
 8.48035e-05 -4.71679e+04  5.52424e+00 -2.42578e+00
 8.55341e-05 -4.67650e+04  5.52424e+00 -2.42681e+00
 8.62709e-05 -4.63656e+04  5.52424e+00 -2.42783e+00
 8.70141e-05 -4.59696e+04  5.52424e+00 -2.42885e+00
 8.77637e-05 -4.55769e+04  5.52424e+00 -2.42985e+00
 8.85198e-05 -4.51876e+04  5.52424e+00 -2.43085e+00
 8.92824e-05 -4.48017e+04  5.52424e+00 -2.43183e+00
 9.00515e-05 -4.44190e+04  5.52424e+00 -2.43281e+00
 9.08273e-05 -4.40396e+04  5.52424e+00 -2.43378e+00
 9.16097e-05 -4.36635e+04  5.52424e+00 -2.43474e+00
 9.23989e-05 -4.32905e+04  5.52424e+00 -2.43570e+00
 9.31949e-05 -4.29208e+04  5.52424e+00 -2.43664e+00
 9.39978e-05 -4.25542e+04  5.52424e+00 -2.43758e+00
 9.48075e-05 -4.21907e+04  5.52424e+00 -2.43851e+00
 9.56243e-05 -4.18304e+04  5.52424e+00 -2.43942e+00
 9.64481e-05 -4.14731e+04  5.52424e+00 -2.44034e+00
 9.72789e-05 -4.11189e+04  5.52424e+00 -2.44124e+00
 9.81170e-05 -4.07677e+04  5.52424e+00 -2.44213e+00
 9.89622e-05 -4.04195e+04  5.52424e+00 -2.44302e+00
 9.98148e-05 -4.00742e+04  5.52424e+00 -2.44390e+00
 1.00675e-04 -3.97319e+04  5.52424e+00 -2.44477e+00
 1.01542e-04 -3.93926e+04  5.52424e+00 -2.44564e+00
 1.02417e-04 -3.90561e+04  5.52424e+00 -2.44649e+00
 1.03299e-04 -3.87225e+04  5.52424e+00 -2.44734e+00
 1.04189e-04 -3.83918e+04  5.52424e+00 -2.44819e+00
 1.05086e-04 -3.80639e+04  5.52424e+00 -2.44902e+00
 1.05992e-04 -3.77388e+04  5.52424e+00 -2.44985e+00
 1.06905e-04 -3.74165e+04  5.52424e+00 -2.45067e+00
 1.07826e-04 -3.70969e+04  5.52424e+00 -2.45148e+00
 1.08755e-04 -3.67800e+04  5.52424e+00 -2.45228e+00
 1.09692e-04 -3.64659e+04  5.52424e+00 -2.45308e+00
 1.10637e-04 -3.61544e+04  5.52424e+00 -2.45387e+00
 1.11590e-04 -3.58456e+04  5.52424e+00 -2.45465e+00
 1.12551e-04 -3.55395e+04  5.52424e+00 -2.45543e+00
 1.13521e-04 -3.52359e+04  5.52424e+00 -2.45620e+00
 1.14499e-04 -3.49349e+04  5.52424e+00 -2.45696e+00
 1.15485e-04 -3.46366e+04  5.52424e+00 -2.45772e+00
 1.16480e-04 -3.43407e+04  5.52424e+00 -2.45847e+00
 1.17483e-04 -3.40474e+04  5.52424e+00 -2.45921e+00
 1.18495e-04 -3.37566e+04  5.52424e+00 -2.45995e+00
 1.19516e-04 -3.34683e+04  5.52424e+00 -2.46068e+00
 1.20546e-04 -3.31824e+04  5.52424e+00 -2.46140e+00
 1.21584e-04 -3.28990e+04  5.52424e+00 -2.46212e+00
 1.22632e-04 -3.26180e+04  5.52424e+00 -2.46283e+00
 1.23688e-04 -3.23394e+04  5.52424e+00 -2.46354e+00
 1.24754e-04 -3.20632e+04  5.52424e+00 -2.46424e+00
 1.25828e-04 -3.17893e+04  5.52424e+00 -2.46493e+00
 1.26912e-04 -3.15178e+04  5.52424e+00 -2.46561e+00
 1.28006e-04 -3.12486e+04  5.52424e+00 -2.46629e+00
 1.29108e-04 -3.09817e+04  5.52424e+00 -2.46697e+00
 1.30221e-04 -3.07171e+04  5.52424e+00 -2.46763e+00
 1.31342e-04 -3.04547e+04  5.52424e+00 -2.46830e+00
 1.32474e-04 -3.01946e+04  5.52424e+00 -2.46895e+00
 1.33615e-04 -2.99367e+04  5.52424e+00 -2.46960e+00
 1.34766e-04 -2.96810e+04  5.52424e+00 -2.47025e+00
 1.35927e-04 -2.94275e+04  5.52424e+00 -2.47089e+00
 1.37098e-04 -2.91762e+04  5.52424e+00 -2.47152e+00
 1.38279e-04 -2.89270e+04  5.52424e+00 -2.47215e+00
 1.39470e-04 -2.86799e+04  5.52424e+00 -2.47277e+00
 1.40672e-04 -2.84349e+04  5.52424e+00 -2.47339e+00
 1.41884e-04 -2.81921e+04  5.52424e+00 -2.47400e+00
 1.43106e-04 -2.79513e+04  5.52424e+00 -2.47460e+00
 1.44339e-04 -2.77125e+04  5.52424e+00 -2.47520e+00
 1.45582e-04 -2.74759e+04  5.52424e+00 -2.47580e+00
 1.46837e-04 -2.72412e+04  5.52424e+00 -2.47639e+00
 1.48102e-04 -2.70085e+04  5.52424e+00 -2.47697e+00
 1.49377e-04 -2.67778e+04  5.52424e+00 -2.47755e+00
 1.50664e-04 -2.65491e+04  5.52424e+00 -2.47812e+00
