     r (a_0)         v_en         v_ha         v_xc
 3.15686e-05 -1.90062e+05  9.76340e+00 -3.74258e+00
 3.17074e-05 -1.89230e+05  9.76340e+00 -3.74515e+00
 3.18468e-05 -1.88402e+05  9.76340e+00 -3.74770e+00
 3.19869e-05 -1.87577e+05  9.76340e+00 -3.75024e+00
 3.21275e-05 -1.86756e+05  9.76340e+00 -3.75276e+00
 3.22688e-05 -1.85938e+05  9.76340e+00 -3.75528e+00
 3.24107e-05 -1.85124e+05  9.76340e+00 -3.75778e+00
 3.25532e-05 -1.84314e+05  9.76340e+00 -3.76027e+00
 3.26964e-05 -1.83507e+05  9.76340e+00 -3.76275e+00
 3.28402e-05 -1.82703e+05  9.76340e+00 -3.76522e+00
 3.29846e-05 -1.81903e+05  9.76340e+00 -3.76767e+00
 3.31296e-05 -1.81107e+05  9.76340e+00 -3.77012e+00
 3.32753e-05 -1.80314e+05  9.76340e+00 -3.77255e+00
 3.34216e-05 -1.79524e+05  9.76340e+00 -3.77497e+00
 3.35686e-05 -1.78738e+05  9.76340e+00 -3.77738e+00
 3.37162e-05 -1.77956e+05  9.76340e+00 -3.77978e+00
 3.38645e-05 -1.77177e+05  9.76340e+00 -3.78217e+00
 3.40134e-05 -1.76401e+05  9.76340e+00 -3.78454e+00
 3.41630e-05 -1.75629e+05  9.76340e+00 -3.78691e+00
 3.43132e-05 -1.74860e+05  9.76340e+00 -3.78926e+00
 3.44641e-05 -1.74094e+05  9.76340e+00 -3.79161e+00
 3.46156e-05 -1.73332e+05  9.76340e+00 -3.79394e+00
 3.47679e-05 -1.72573e+05  9.76340e+00 -3.79626e+00
 3.49208e-05 -1.71818e+05  9.76340e+00 -3.79857e+00
